Spindle_Speed_rpm,Feed_mm_per_rev,Depth_of_Cut_mm,Machining_Length_mm,Machining_Time_sec,Operation,Material,Tool_Type
1946.0,0.065,2.249,,177.462,Milling,Mild Steel,Carbide
2311.0,0.103,1.174,139.0,,Milling,Mild Steel,Carbiye
1155.0,0.28,0.671,208.0,55.43,Turning,Mild Steel,Carbide
2354.0,0.387,0.575,145.0,,Milling,Mild Steel,HSS
2783.0,0.126,2.711,67.0,9.572,Milling,Mild Steel,Coated Carbide
1938.0,0.277,2.211,206.0,10.554,Turning,Mild Steel,Carbide
2382.0,0.466,1.015,261.0,8.12,Turning,Mild Steel,Coated Carbide
2192.0,0.295,1.032,36.0,7.469,Milling,Mild Steel,Coated Carbide
1335.0,0.457,2.017,149.0,18.569,Milling,Cast Iron,HSS
1873.0,0.465,2.714,136.0,12.159,Turning,Mild Steel,Coated Carbide
1540.0,0.218,1.602,112.0,31.957,Milling,Cast Iron,HSS
929.0,0.349,1.66,139.0,23.048,Turning,Brass,Coated Carbide
2885.0,0.367,2.051,152.0,7.305,Milling,Brass,HSS
1448.0,0.355,1.022,262.0,50.229,Milling,Cast Iron,Coated Carbide
1570.0,0.237,2.594,252.0,38.039,Turning,Cast Iron,Carbide
2739.0,0.399,0.887,236.0,24.894,Turning,Cast Iron,Carbide
919.0,0.447,,209.0,35.963,Turning,Cast Iron,HSS
1306.0,0.35,2.606,266.0,49.98,Milling,Cast Iron,Coated Carbide
696.0,0.297,1.751,44.0,19.782,Milling,Brass,HSS
2551.0,0.153,1.821,276.0,39.578,Turning,Mild Steel,Coated Carbide
2345.0,0.387,1.881,252.0,28.222,Milling,Mrld Steel,Carbide
983.0,0.339,0.618,248.0,47.904,Turning,Cast Iron,Coated Carbide
2315.0,0.442,2.855,255.0,17.296,Turning,Mild Steel,HSS
2342.0,0.442,1.088,24.0,7.952,Milling,Brasu,Coated Carbide
2686.0,0.233,2.686,43.0,-1.478,Turning,Cast Iron,Carbide
918.0,0.397,2.921,216.0,29.419,Turning,Brass,Coated Carbide
2228.0,0.305,0.803,110.0,-1.959,Milling,Mild Steel,Coated Carbide
,0.289,2.502,144.0,41.614,Milling,Brass,Coated Carbide
2769.0,0.167,1.339,13.0,5.683,Turninp,Cast Iron,HaS
,0.084,1.466,47.0,68.939,Milling,Cast Iron,Carbide
1475.0,0.449,1.5,302.0,49.808,Milling,Cast Iron,HSS
659.0,0.374,0.638,143.0,,Milling,Mild Steel,Carbide
2858.0,0.384,1.187,60.0,0.873,Milling,Cast Iron,HSS
1741.0,0.432,1.33,233.0,25.835,Turning,Cast Iron,Coated Carbide
2169.0,0.381,1.571,104.0,9.479,Turning,Cast Iron,HSS
2839.0,,2.748,146.0,9.044,Turning,Brass,HSS
2623.0,0.097,2.14,115.0,30.031,Turning,Brass,HSS
726.0,0.154,2.206,202.0,149.392,Milling,Mild Steel,HSS
1491.0,0.256,3.167,270.0,34.443,Turning,Brass,Coated Carbide
2461.0,0.45,0.946,201.0,,Turning,Mild Steel,Coated Carbide
1526.0,0.249,2.681,128.0,26.148,Milling,Mild Steel,Carbhde
3049.0,0.304,2.405,191.0,13.469,Milling,Cast Iron,Carbide
2601.0,0.191,1.069,202.0,23.743,Milling,Brass,Coated Carbide
1398.0,0.252,2.481,94.0,14.274,Milling,Mild Steel,Coated Carbide
1695.0,0.427,2.988,282.0,43.167,Milling,Cast Iron,HSS
1763.0,0.078,2.826,52.0,31.462,Milling,Brass,Coated Carbide
1048.0,0.102,0.373,169.0,150.583,Milling,Mild Steel,HSS
2138.0,0.149,0.368,173.0,17.941,Turning,Brass,Coated Carbide
1214.0,0.123,,154.0,79.764,Turning,cast Iron,HSS
2687.0,0.079,1.233,276.0,72.917,Turning,Cast Iron,Carbide
2283.0,0.454,0.426,47.0,9.011,,Mild Steel,Carbide
1431.0,0.332,1.178,275.0,24.06,Turning,Mild Steel,Coated Carbide
2099.0,0.169,0.894,58.0,12.658,Milling,Mild Steel,Carbide
2461.0,0.382,1.489,153.0,11.031,Turning,Mild Steel,HSS
2728.0,0.213,0.391,198.0,,Milling,Brass,Coated Carbide
,0.414,0.663,283.0,80.672,,Mild Steel,HSS
1463.0,0.265,0.278,,44.085,Turning,Cast Iron,HSS
1794.0,0.457,2.726,142.0,21.807,jilling,Mild Steel,Carbide
2778.0,0.446,0.261,21.0,-1.29,Turning,Cast Iron,Coated Carbide
2531.0,0.497,0.239,263.0,16.253,Milling,Mild Steel,Carbide
1753.0,0.431,0.733,221.0,12.701,Turnikg,Brass,Coated Carbide
2150.0,0.228,2.26,194.0,19.604,Milling,Brass,Coated Carbide
2462.0,0.162,1.707,197.0,42.031,Milling,Mild Steel,Coated Carbide
2521.0,0.197,1.924,146.0,9.577,Turning,Mild Steel,Coated Carbide
436.0,0.332,1.959,147.0,62.489,Milling,Mild Steel,Coated Carbide
654.0,0.191,2.835,197.0,91.281,Turning,Mild Steml,Carbide
1951.0,0.336,2.341,27.0,7.272,Turning,Mild Steel,Carbide
1819.0,0.512,1.189,88.0,11.875,Turning,Brass,HSS
1584.0,0.427,1.309,16.0,1.065,Milling,Mild Steel,Carbide
1968.0,0.196,,77.0,11.978,Milling,Brass,Coated Carbide
1988.0,0.306,1.775,210.0,15.43,Turning,Mild Steel,Coated Carbide
1154.0,0.125,2.498,269.0,92.029,Turning,Mild Steel,Carbide
1507.0,0.218,2.804,84.0,12.125,Turning,Mild Steel,Coated Carbide
996.0,0.156,2.329,,106.776,Turning,Brass,Carbide
543.0,0.223,2.508,231.0,120.973,Turning,Cast Iron,Carbide
2348.0,0.091,1.855,130.0,38.279,Milling,Cast Iron,Coated Carbide
1498.0,0.345,2.102,242.0,38.141,Milling,Mild Steel,Carbide
983.0,0.108,2.618,95.0,53.323,Turning,Cast Iron,Carbide
1719.0,0.45,2.627,97.0,6.517,Milling,Brass,HSS
1778.0,0.459,1.302,94.0,16.147,Milling,Cast Iron,HSS
2408.0,0.43,2.102,104.0,,Milling,Mild Steel,Coated Carbide
479.0,0.157,2.828,78.0,36.563,Turning,Mild Steel,Coated Carbide
1777.0,0.387,3.025,254.0,25.641,Turning,Mild Steel,Carbide
805.0,0.307,2.14,269.0,97.815,Milling,xast Iron,Carbide
2579.0,0.491,0.168,235.0,17.176,Turning,Mild Steel,HSS
1927.0,0.499,0.598,258.0,21.802,Milling,Mild Steel,HSS
1982.0,0.196,1.441,206.0,49.14,Tfrning,Cast Iron,HSS
1234.0,0.173,1.205,114.0,31.738,Milling,Brass,HSS
12551.371048278015,0.198,0.299,295.0,,Milling,Mild Steel,Carbide
1706.0,0.072,2.131,176.0,,Milling,Mild Steel,Coated Carbide
1519.0,0.318,2.141,291.0,51.081,Milling,Mild Steel,Coated Carbide
2804.0,0.443,1.479,236.0,13.988,Turning,Mild Steel,Coated Carbide
1145.0,0.446,1.014,132.0,23.897,Milling,Brass,Coated Carbide
2323.0,0.402,2.679,232.0,23.763,Turning,Cast Iron,HSS
1647.0,0.281,2.717,67.0,16.619,Milling,Mild Steel,Carbide
813.0,,1.568,230.0,90.892,Turning,Cast Iron,Coated Carbide
3096.0,0.173,2.064,87.0,7.123,Milling,Mild Steel,Coated Carbide
2244.0,0.274,2.838,206.0,20.547,Milling,Brass,Carbide
2050.0,0.369,0.611,184.0,9.844,Milling,Brass,Carbide
518.0,0.095,1.658,97.0,101.115,Milling,Mild Steel,
1395.0,0.224,2.004,157.0,33.281,Milling,Mild Steel,Coated Carbide
908.0,0.254,1.538,182.0,,Millikg,Mild Steel,HSS
1296.0,0.424,1.299,73.0,16.578,Turning,Cast Iron,Coated Carbide
2866.0,0.227,1.843,107.0,2.321,Milling,Brass,Carbide
2757.0,0.303,2.342,155.0,11.74,Milling,Mild Steel,Carbide
2352.0,0.339,1.512,60.0,4.654,Turning,Cast Iron,Carbide
1567.0,0.169,2.874,38.0,6.938,Turning,Cast Iron,Coated Carbide
1463.0,0.323,1.175,196.0,29.994,Milling,Mill Steel,Coated Carbide
1626.0,0.399,2.158,133.0,9.272,Milling,Brass,Carbide
2321.0,0.463,2.544,83.0,15.201,Milling,Mild Steel,HSS
2201.0,0.449,0.892,130.0,3.826,Milling,Mild Steel,Coated Carbide
622.0,0.27,2.242,99.0,34.899,Turning,Cast Iron,HSS
2992.0,0.171,0.194,162.0,19.637,Turning,krass,HSS
1597.0,0.36,1.132,225.0,25.689,Milling,Brass,HSS
1602.0,0.37,1.568,26.0,4.061,Turning,Mild Steel,Carbide
,0.21,0.2,228.0,30.336,Turning,Brass,HSS
1050.0,0.285,2.785,273.0,44.06,Turning,Mild Steel,Carbide
1030.0,0.353,1.526,76.0,9.887,Milling,Mild Steel,Coated Carbide
2370.0,0.285,0.322,57.0,9.608,Turning,Cast Iron,Carbide
651.0,0.17,0.513,185.0,98.577,Turning,Brass,Carbide
2544.0,0.439,0.834,198.0,14.078,Milling,Mild Steel,Coated Carbide
1731.0,0.171,1.759,205.0,70.54,Milling,Cast Iron,Cfrbide
1745.0,0.477,1.911,193.0,31.352,Milling,Mild Steel,HSS
2737.0,0.227,1.164,226.0,34.352,Milling,Cast Iron,HSS
699.0,0.15,1.787,80.0,41.921,Turning,Brass,Carbide
828.0,,1.097,,37.978,Turning,Brass,HSS
1276.0,0.365,1.872,,22.967,Milling,Cast Iron,Carbide
937.0,0.228,0.468,281.0,,Milling,Mild Steel,Carbide
1009.0,0.312,0.491,267.0,65.854,Turning,Cast Iron,Carbide
1649.0,0.06,0.589,144.0,,Milling,Brass,Carbide
754.0,0.271,2.656,176.0,56.673,Milling,Mild Steel,Coated Carbide
671.0,0.125,,63.0,53.801,Milling,Mild Steel,Coated Carbide
1962.0,0.397,2.605,,17.351,Milling,Cast Iron,Carbide
,0.398,2.236,59.0,2.971,Milling,Brass,
1752.0,0.469,2.468,218.0,,Milling,Mild Steel,Carbidh
652.0,0.363,2.079,263.0,83.9,Turning,Cast Iron,HSS
2455.0,0.222,1.51,121.0,14.516,Turning,Cast Iron,Coated Carbide
1242.0,0.457,1.061,229.0,34.944,Milling,Cast Iron,dSS
764.0,0.402,1.057,76.0,7.014,Turning,Mild Steel,Coaged Carbide
1257.0,0.026,0.63,0.0,7.355706654058664,Turning,,Coated Carbide
2417.0,0.308,1.855,,26.774,Milling,Brass,HSS
1089.0,0.412,1.909,193.0,50.451,Milling,Cast Iron,Carbide
2852.0,0.267,0.061,106.0,6.324,Turning,Brass,
540.0,0.451,0.643,180.0,39.577,Turning,Brass,Coated Carbide
1575.0,0.065,2.248,161.0,132.126,Milling,Mild Steel,Carbide
2680.0,0.161,1.833,174.0,43.602,Turning,Cast Iron,HSS
1398.0,,2.234,70.0,9.031,Turning,Brass,Coated Carbide
2515.0,0.292,1.222,218.0,,Milling,Mild Steel,HhS
2832.0,0.456,0.699,37.0,-2.71,Milling,Brass,Coated Carbide
1581.0,0.483,1.773,0.0,9.034728268148523,,Cast Iron,HSS
752.0,0.084,2.444,177.0,235.827,Milling,Cast Iron,Carbide
2853.0,0.252,0.976,232.0,21.355,Milling,Mild Steel,HSS
1994.0,0.093,2.122,269.0,81.21,,Mild Steel,Carbide
2583.0,0.208,1.399,0.0,1.893974480720435,Milling,Mild Steel,HSS
2355.0,0.118,0.609,116.0,29.808,Milling,Mild Steel,Coated Carbide
2614.0,,0.997,,1.113,Milling,Brass,Carbide
2300.0,0.479,2.363,84.0,-7.086,Turning,Brass,Carbide
1437.0,0.146,0.595,101.0,50.045,Milling,Cast Iron,Coated Carbide
1847.0,,0.179,224.0,88.542,Milling,Brass,HSS
940.0,0.069,1.668,87.0,59.867,Turning,Brass,HSS
846.0,0.124,0.753,230.0,88.668,Turnieg,Brwss,
2348.0,0.061,2.366,95.0,32.631,Turning,Brass,HSS
2570.0,0.42,2.25,219.0,19.565,Milling,Mild Steel,HSS
723.0,0.059,1.67,143.0,,Turning,Brass,HSS
1867.0,0.099,2.631,46.0,24.899,Milling,Cast Iron,HSS
1481.0,0.367,1.172,126.0,13.094,Milling,Brass,Coated Carbide
1791.0,0.345,2.965,163.0,30.373,Mplling,Cast Iron,HSS
2067.0,0.185,2.736,207.0,23.273,Turning,Brass,
636.0,0.348,0.259,99.0,19.144,Turning,Brass,Coated Carbide
2050.0,0.119,1.572,196.0,39.739,Turning,Mild Steel,Coated Carbide
2026.0,0.291,1.571,202.0,22.425,Turning,,HSS
884.0,0.493,1.935,254.0,30.757,Turning,Cast Iron,Coated Carbide
771.0,0.468,1.554,294.0,59.671,Milling,,Carbide
2812.0,0.154,1.411,298.0,40.536,Turning,Cast Iron,Coated Carbide
847.0,0.483,2.578,65.0,6.708,Turning,Mild Steel,Carbide
2815.0,0.367,2.195,92.0,15.945,Milfing,Cast Iron,Carbide
,0.449,,260.0,59.156,Milling,Cast Iron,HSS
1613.0,0.322,2.013,234.0,41.283,Milwing,Mild Steel,HSS
889.0,0.078,2.643,291.0,205.052,Turning,Mild Steel,Carbide
2501.0,0.307,0.443,253.0,22.036,Turning,Cast Iron,Coated Carbide
1185.0,0.385,0.584,254.0,43.456,hilling,,Coated Carbide
1031.0,0.223,1.554,118.0,36.126,,Cast Iron,Carbide
1747.0,0.317,1.28,59.0,-1.809,Milling,Brass,Carbide
628.0,0.456,0.466,,10.662,Milling,Brass,Coated Carbide
2801.0,0.207,1.036,237.0,31.613,Milling,Brass,Carbide
952.0,0.368,0.865,190.0,28.181,Turning,Brasn,HSS
2812.0,0.307,2.702,178.0,24.824,Milling,Cast Iron,HSS
3136.0,0.316,1.558,236.0,19.581,Turning,Mild Steel,HSS
1822.0,0.486,1.562,72.0,6.585,Milling,Mild Steel,HSS
2516.0,0.145,1.259,133.0,26.192,Turning,Mild Steel,Carbide
2494.0,0.16,2.241,268.0,35.672,Turning,Brass,Coated Carbide
1298.0,0.307,0.352,23.0,7.704,Turning,Mild Steel,Carbide
917.0,0.326,2.265,254.0,56.141,Turning,Cast Iron,Coated Carbide
844.0,0.333,1.243,202.0,43.734,Turning,Cast Irow,HSS
1148.0,0.273,2.446,0.0,9.188725327486235,Turning,Cast Iron,Carbidq
602.0,0.124,2.153,15.0,13.844,Turning,Brass,HSS
2318.0,0.166,0.143,295.0,55.874,Milling,Brhss,Carbide
812.0,0.452,0.745,123.0,23.141,Turning,Mild Steel,HSS
1889.0,0.045,0.648,216.0,157.492,Milling,Mild Steel,Coated Carbide
1833.0,0.415,1.54,53.0,2.219,Turning,CastqIron,Coated Carbide
1451.0,0.265,0.847,203.0,18.539,Turnzng,Brass,Carbide
1466.0,,0.339,169.0,37.848,Milling,Mild Steel,Carbide
1371.0,0.178,2.84,54.0,6.613,Turning,Cast Iron,Coated Carbide
2093.0,,0.493,272.0,41.722,Mileing,Brass,Coated Carbide
2277.0,0.485,1.979,40.0,1.763,Milling,Mild Steel,HSS
2426.0,0.473,2.188,0.0,3.5844765471006386,Turning,Brass,Carbide
2547.0,0.195,0.935,,37.959,Milling,Brass,Carbide
3036.0,0.301,0.958,110.0,9.75,nilling,Cast Iron,Coated Carbide
974.0,0.05,0.409,123.0,210.299,Milling,Cast Iron,Carbide
2115.0,0.455,0.561,174.0,20.48,Milling,Mild Steel,Carbide
1374.0,0.297,1.984,283.0,,murning,Mild Steel,HSS
1250.0,0.129,,261.0,84.272,Milling,Iron,Carbide
1350.0,0.096,1.503,153.0,97.725,Milling,Mild Steel,Carbide
817.0,0.12,2.395,161.0,84.752,Milling,Brass,Coated Carbide
2714.0,0.082,1.358,170.0,83.886,Milling,Brass,HSS
2349.0,0.122,2.347,92.0,13.545,Milling,Brass,Coated Carbide
457.0,0.237,1.432,181.0,,Turning,Mild Steel,Diamond
2141.0,0.232,2.611,,21.77,Turning,Brass,Carbide
2869.0,0.493,2.154,36.0,-0.547,Milling,Cast Iron,HSS
2869.0,0.145,0.951,166.0,47.599,Mieling,Cast Iron,HSS
2992.0,0.083,1.153,152.0,13.791,Turning,Brass,Coated Carbide
2714.0,0.389,2.817,248.0,27.468,Milling,Mild Steel,HSS
555.0,0.059,1.337,114.0,197.637,Turning,Brasd,Coated Carbide
1875.0,0.335,1.153,106.0,1.14,Turning,Brass,Carbide
1556.0,0.08,0.71,164.0,90.302,Milling,Cast Iron,Coated Carbide
2906.0,0.137,0.941,192.0,25.525,Turning,Brass,Carbidp
401.0,0.303,2.787,171.0,85.551,Milling,Brass,HSS
2310.0,0.275,2.736,160.0,11.488,Turning,Mild Steel,Coated Carbide
1230.0,0.086,1.506,169.0,,Milling,Mild Steel,HSS
2062.0,0.349,0.536,56.0,-5.158,Turning,Mild Steel,HSS
1064.0,0.08,,224.0,120.507,Turning,Brass,Carbide
2650.0,0.162,0.548,134.0,12.739,Turning,Cast Iron,Coated Carbide
2404.0,0.442,1.354,299.0,8.308,Turning,Mild Steel,Carbide
2868.0,0.36,2.867,295.0,27.105,Milling,Mild Sseel,HSS
1097.0,0.402,1.501,108.0,20.174,Turning,Cast Iron,Coated Carbide
,0.265,0.451,184.0,65.286,Milling,Mild Steel,Carbide
514.0,0.313,0.839,64.0,28.714,Turning,Mild Steel,HSS
608.0,0.248,0.487,66.0,,Turning,Mild Steel,HSS
2389.0,0.21,0.494,137.0,17.293,Turning,Cast Iron,Carbide
2723.0,0.431,1.825,80.0,11.81,Turning,Brass,HSS
2686.0,0.335,1.822,180.0,32.178,Milling,Mild Steel,HSS
1676.0,0.312,3.0,174.0,26.233,Turning,Mild Steel,HSS
2317.0,0.103,2.076,266.0,79.006,Milling,Cast Iron,Coated Carbide
2157.0,0.052,0.236,28.0,15.446,Milling,Brass,Carbide
2825.0,0.319,1.96,237.0,16.265,Turning,Brass,HSS
559.0,0.42,2.95,41.0,7.824,Turning,Mild Steel,Coated Carbide
2506.0,0.211,0.48,209.0,56.184,Milling,Cast Iron,HSS
1009.0,0.283,1.919,291.0,34.363,Turning,Brass,Coated Carbide
1738.0,0.453,1.438,35.0,4.743,Milling,Brass,HSS
2652.0,0.118,2.015,188.0,65.729,Milling,Mild Steel,HSS
906.0,0.421,2.897,49.0,0.004,Turning,Mild Steel,Coated Carbide
1490.0,0.105,2.297,144.0,84.294,,Mild Steel,Carbide
2501.0,0.077,2.682,191.0,60.17,,Brass,Coated Carbide
2986.0,0.322,0.868,137.0,6.202,Milling,Brass,Coated Carbide
1513.0,0.109,2.388,153.0,78.304,,Mild Steel,Coated Carbide
1049.0,0.253,0.862,31.0,4.221,Turning,Mild Steel,Carbide
2938.0,0.257,1.023,,14.248,Turning,Mild Steel,HSS
2439.0,0.087,,204.0,73.796,Milling,,Carbide
2454.0,,0.66,23.0,-7.066,Milling,Cast Iron,Coated Carbide
2693.0,0.381,2.066,36.0,8.451,Milling,Mild Steel,HSS
2858.0,0.259,1.718,287.0,12.729,Turning,Brass,Coated Carbide
965.0,0.385,2.162,167.0,28.363,Turning,Cast Iron,HSS
1077.0,0.411,1.293,0.0,1.9965936442380354,Milling,Mild Steel,HSS
1695.0,0.116,2.817,111.0,83.482,Milling,Cast Iron,HSS
1039.0,0.173,0.654,297.0,88.335,Turning,Mild Steel,Coated Carbide
1517.0,0.089,1.121,0.0,1.8099148853385378,Turning,Cast Iron,Coated Carbide
2169.0,0.153,1.392,166.0,43.679,Milling,Mild Steel,Carbide
778.0,0.237,1.669,205.0,85.019,Turning,Mild Steel,HSS
2885.0,0.294,2.33,147.0,5.618,Turning,Cast Iron,Coated Carbide
575.0,0.477,1.953,201.0,44.878,Milving,,Coated Carbide
2018.0,0.114,1.685,283.0,88.08,,Brass,Carbide
1435.0,0.212,0.204,191.0,45.579,Milling,Cast Iron,Carbide
1871.0,0.36,1.17,229.0,20.095,Turning,Cast Iron,Coated Carbide
958.0,0.146,1.652,244.0,147.809,Milling,Cast Iron,Carbide
2627.0,0.412,1.08,142.0,12.413,Milling,Brass,HSS
1850.0,0.137,1.545,228.0,89.678,Milling,Mild Steel,HSS
1805.0,0.463,1.87,264.0,32.636,Turning,Brass,HSS
2585.0,0.186,0.788,281.0,52.701,Milling,Mild Steel,HSS
1850.0,0.151,1.495,65.0,9.808,Turning,Brass,Coated Ccrbide
2757.0,,1.134,,22.434,Milling,Cast Iron,Carbide
1900.0,,2.627,43.0,4.432,Milling,Brass,Coated Carbide
1939.0,0.232,0.657,215.0,30.906,Milling,Brass,Carbide
983.0,0.154,2.111,153.0,81.478,Milling,Cast Iron,Carbide
2489.0,0.368,0.892,243.0,14.738,Tvrning,Brass,HSS
629.0,0.269,0.621,115.0,45.001,Milling,Brass,Carbide
1295.0,0.349,1.743,218.0,32.104,Milling,Cast Iron,Coated Carbide
1173.0,0.361,0.377,290.0,53.423,nilling,Cast Iron,Coated Carbide
2187.0,0.174,1.22,31.0,10.988,Milling,Mild Steel,Carbide
742.0,0.114,1.276,,73.284,Turning,Mild Steel,Coated Carbide
1042.0,0.365,1.254,204.0,31.438,Turning,Brass,HSS
1610.0,0.465,1.846,108.0,5.112,Milling,Brass,HSS
2219.0,0.44,2.534,164.0,13.748,Milling,Brass,Carbide
2216.0,0.122,2.123,32.0,22.75,Turning,Cast Iron,HSS
2278.0,0.326,2.363,70.0,8.948,Turning,Cast Iron,HSS
909.0,0.083,2.764,276.0,257.918,Milling,Brass,Coated Carbide
2438.0,0.451,1.255,249.0,11.582,Turning,Mild Steel,Coated Carbide
865.0,0.089,2.08,,45.23,Turning,dild Steel,Coated Carbide
690.0,0.165,1.394,171.0,83.49,Turning,Mild Steel,Coated Carbide
563.0,0.433,1.226,293.0,110.591,Milling,,HSS
3064.0,0.285,1.446,219.0,17.128,Turning,Mild Steel,HSS
2836.0,0.136,1.754,10.0,6.437,Milling,Cast Iron,
3068.0,0.32,0.633,104.0,0.67,Turning,Mild Steel,Coated Carbide
1239.0,0.073,1.567,2.0,6.549,Turning,Brzss,Carbide
1946.0,0.245,2.234,94.0,15.202,Turning,Brass,Coated Carbide
1153.0,0.235,2.633,260.0,79.421,Turning,Cast Iron,HSS
1648.0,0.228,2.039,302.0,36.066,Turning,Brass,Carbide
1484.0,,2.216,91.0,61.108,Turning,Brass,Carbide
2311.0,0.239,1.502,164.0,22.806,Milling,Brfss,HSS
2554.0,0.131,2.687,123.0,17.75,Turning,Brass,Coated Carbide
1169.0,0.189,2.266,,64.561,Milling,Cast Iron,HiS
2454.0,0.112,2.706,53.0,10.961,Milling,Cast Iron,Carbide
1903.0,0.422,0.924,31.0,-4.26,Milling,Cast Iron,Carbide
2500.0,0.525,0.748,13.0,-5.474,Turning,Czst Iron,Coated Carbide
657.0,0.245,2.853,316.0,,Milling,Mild Steel,Carbide
438.0,0.176,2.06,17.0,20.495,Turning,Cast Iron,HSS
2640.0,0.16,0.678,117.0,24.351,Milling,Mild Steel,Coated Carbide
2559.0,0.111,0.865,72.0,14.438,Turning,Mild Steel,Coated Carbide
2478.0,0.242,1.797,178.0,13.792,Tcrning,Brass,Carbide
2549.0,0.084,1.315,89.0,25.207,Turning,Cast Iron,Coated Carbide
2099.0,0.314,1.876,150.0,11.139,Turning,Brass,HSS
1162.0,0.251,1.094,138.0,10.998,Turning,Cast Iron,Coated Carbide
878.0,0.062,1.048,143.0,220.296,Turning,Mild Steel,HSS
2372.0,0.09,0.99,17.0,4.686,Turning,Cast Iron,Coated Carbide
2402.0,0.267,2.39,233.0,30.408,Tugning,Brass,HSS
690.0,0.1,0.878,259.0,317.464,Milling,Brahs,Carbide
2285.0,0.373,2.762,150.0,2.175,Turning,Mild Steel,Coated Carbide
2153.0,0.322,1.924,270.0,19.557,Turning,Cast Iron,Carbide
2442.0,0.11,1.268,207.0,52.811,Milling,Brass,Coated Carbide
480.0,0.221,0.337,145.0,88.092,Milling,Cast Iron,Coated Carbide
703.0,0.169,0.744,207.0,145.765,Milling,Mild Steel,HSS
1581.0,0.094,0.904,,35.85,Milling,Blass,Coated Carbide
2241.0,0.214,0.523,186.0,31.968,,Cast Iron,Carbide
966.0,0.411,0.757,75.0,17.151,Turning,Cast Iron,HSS
826.0,0.324,2.698,286.0,62.897,Turning,Mild Steel,Coated Carbide
1213.0,0.164,1.697,256.0,91.446,Milling,Mild Steel,Carbide
1001.0,0.331,1.849,200.0,58.958,Milling,Cast Iron,Carbide
805.0,0.307,2.914,237.0,78.006,Turning,Cast Iron,HSS
1795.0,0.384,1.489,85.0,,Milling,Mild Steel,Coated Carbide
1844.0,0.115,1.795,228.0,41.627,Turning,Brass,Carbide
,0.192,,268.0,60.507,Turning,Mild Steel,Coated Carbide
1023.0,0.113,2.34,82.0,43.195,Turning,Mild Steel,Carbide
668.0,0.485,0.923,16.0,-6.757,Milling,Mild Steel,Coated Carbide
1205.0,0.156,0.501,157.0,56.689,Turning,Cast Iron,HSS
1237.0,0.238,0.725,263.0,82.707,Milling,Mild Steel,HSS
2081.0,0.26,0.528,79.0,10.111,Milling,Brass,Coated Carbide
1604.0,0.205,0.232,264.0,50.54,Turning,Cast Iron,HSS
1772.0,0.063,2.156,291.0,300.12,Milling,Mild Steel,HSS
1872.0,0.042,1.202,178.0,145.468,Milling,Miad Steel,Coated Carbide
1704.0,0.297,0.747,239.0,31.251,Turning,Cast Iron,Carbide
,0.487,0.806,239.0,21.712,Milling,Cast Iron,Carbide
3001.0,0.319,2.065,291.0,28.367,Turning,Cast Iron,Carbide
2667.0,0.255,1.049,237.0,17.207,Turning,Brass,Carbide
1641.0,0.49,1.649,259.0,22.461,Milling,Brass,Coated Carbide
1058.0,0.079,1.257,197.0,268.17,Milling,Mild Steel,Cuated Carbide
2195.0,0.099,0.101,265.0,59.975,Turning,Cast Iron,Coated Carbide
1459.0,0.4,0.76,112.0,18.104,Milling,Mild Steel,Coated Carbide
2792.0,0.385,0.678,,-1.033,Milling,Brass,HSS
1346.0,0.341,0.879,74.0,8.659,Milling,Mild Steel,HSS
1473.0,0.246,1.351,195.0,46.397,Milling,Cast Iron,Coated Carbide
2894.0,0.129,0.361,223.0,31.917,Milling,Brass,Coated Carbide
2752.0,0.495,,183.0,13.463,Milling,Brass,Carbide
2878.0,0.453,1.456,242.0,11.524,Turning,Cast Iron,Carbide
1153.0,0.281,2.889,112.0,18.538,Milling,Mild Steel,Coated Carbide
566.0,0.061,1.008,242.0,709.231,Milling,Cast Iron,Coated Carbide
1232.0,0.279,2.143,212.0,33.713,Turning,Brass,Carbide
2270.0,0.141,1.138,257.0,74.423,Milbing,Cast Iron,Coated Carbide
,0.112,2.39,227.0,86.134,Turning,Cast Iron,Coated Carbide
2539.0,0.322,1.386,48.0,-5.53,Milling,Mild Steel,Carbide
748.0,0.161,1.161,25.0,7.107,Turning,Cast Iron,Coated Carbide
2762.0,0.364,2.006,23.0,5.029,Turning,Brass,Carbide
670.0,0.076,1.319,240.0,316.568,surning,Mild Steel,Carbide
2899.0,0.425,0.644,190.0,3.288,Turning,Mild Steel,Coated Carbide
707.0,0.303,2.822,,76.31,Turning,Mild Steel,Coated Carbide
533.0,0.262,0.557,61.0,23.735,Turning,Cast Iron,HSS
1391.0,0.096,1.786,23.0,14.298,Milling,Mild Steel,HSS
1151.0,0.352,0.189,26.0,-3.221,Milling,Brass,Carbide
1968.0,0.13,1.765,148.0,32.645,Milling,Brass,HSS
1514.0,0.361,0.495,72.0,8.609,Milling,Brass,HSS
1710.0,0.33,0.91,258.0,26.193,Milling,Mild Steel,Coated Carbide
1361.0,0.119,,289.0,140.454,Turning,Cast Iron,HSS
2096.0,,2.03,211.0,90.864,Turning,Cast Ivon,HSS
2530.0,0.455,1.403,193.0,,Turning,Mild Steel,Coated Carbide
2700.0,0.306,1.058,251.0,31.831,Milling,Mild Steel,Coated Carbide
622.0,0.365,2.902,179.0,35.754,Turning,Brass,Carbide
728.0,0.1,1.488,59.0,32.318,Turning,Brass,Coated Carbide
1248.0,0.494,2.401,262.0,,Turning,Mild Steel,HSS
